STUDYID,SITEID,SITENAME,CAT
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,8,Site 8,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,10,Site 10,Resolved
sample,10,Site 10,Resolved
sample,10,Site 10,Resolved
sample,10,Site 10,Resolved
sample,10,Site 10,Resolved
sample,10,Site 10,Resolved
sample,55,Site 55,Resolved
sample,55,Site 55,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,70,Site 70,Resolved
sample,82,Site 82,Resolved
sample,82,Site 82,Resolved
sample,82,Site 82,Resolved
sample,82,Site 82,Resolved
sample,82,Site 82,Resolved
sample,82,Site 82,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Resolved
sample,2,Site 2,Outstanding > 90 days
sample,2,Site 2,Outstanding <= 90 days
sample,2,Site 2,Outstanding <= 90 days
sample,2,Site 2,Outstanding <= 90 days
sample,2,Site 2,Outstanding <= 90 days
sample,2,Site 2,Outstanding <= 90 days
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,8,Site 8,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
sample,9,Site 9,Resolved
